ID,Material,Resistencia (MPa),Costo (USD/kg),Durabilidad (años),Peso (kg/m³),Resistencia a la Corrosión (%),Absorción de Agua (%),Conductividad Térmica (W/m·K)
104,Material_104,15.3,1.08,13,1603,23,1.3,0.30000000000000004
105,Material_105,15.4,1.09,14,1604,24,1.4000000000000001,0.4
106,Material_106,15.5,1.1,15,1605,25,0.0,0.5
107,Material_107,15.6,1.11,16,1606,26,0.1,0.6000000000000001
108,Material_108,15.7,1.12,17,1607,27,0.2,0.7000000000000001
109,Material_109,15.8,1.13,18,1608,28,0.30000000000000004,0.8
110,Material_110,15.9,1.14,19,1609,29,0.4,0.9
111,Material_111,16.0,1.15,20,1610,30,0.5,0.0
112,Material_112,16.1,1.16,21,1611,31,0.6000000000000001,0.1
113,Material_113,16.2,1.17,22,1612,32,0.7000000000000001,0.2
114,Material_114,16.3,1.18,23,1613,33,0.8,0.30000000000000004
115,Material_115,16.4,1.19,24,1614,34,0.9,0.4
116,Material_116,16.5,1.2,25,1615,35,1.0,0.5
117,Material_117,16.6,1.21,26,1616,36,1.1,0.6000000000000001
118,Material_118,16.7,1.22,27,1617,37,1.2000000000000002,0.7000000000000001
119,Material_119,16.8,1.23,28,1618,38,1.3,0.8
120,Material_120,16.9,1.24,29,1619,39,1.4000000000000001,0.9
121,Material_121,17.0,1.25,30,1620,40,0.0,0.0
122,Material_122,17.1,1.26,31,1621,41,0.1,0.1
123,Material_123,17.2,1.27,32,1622,42,0.2,0.2
124,Material_124,17.3,1.28,33,1623,43,0.30000000000000004,0.30000000000000004
125,Material_125,17.4,1.29,34,1624,44,0.4,0.4
126,Material_126,17.5,1.3,35,1625,45,0.5,0.5
127,Material_127,17.6,1.31,36,1626,46,0.6000000000000001,0.6000000000000001
128,Material_128,17.7,1.32,37,1627,47,0.7000000000000001,0.7000000000000001
129,Material_129,17.8,1.33,38,1628,48,0.8,0.8
130,Material_130,17.9,1.34,39,1629,49,0.9,0.9
131,Material_131,18.0,1.35,40,1630,50,1.0,0.0
132,Material_132,18.1,1.36,41,1631,51,1.1,0.1
133,Material_133,18.2,1.37,42,1632,52,1.2000000000000002,0.2
134,Material_134,18.3,1.38,43,1633,53,1.3,0.30000000000000004
135,Material_135,18.4,1.39,44,1634,54,1.4000000000000001,0.4
136,Material_136,18.5,1.4,45,1635,55,0.0,0.5
137,Material_137,18.6,1.41,46,1636,56,0.1,0.6000000000000001
138,Material_138,18.7,1.42,47,1637,57,0.2,0.7000000000000001
139,Material_139,18.8,1.43,48,1638,58,0.30000000000000004,0.8
140,Material_140,18.9,1.44,49,1639,59,0.4,0.9
141,Material_141,19.0,1.45,50,1640,60,0.5,0.0
142,Material_142,19.1,1.46,51,1641,61,0.6000000000000001,0.1
143,Material_143,19.2,1.47,52,1642,62,0.7000000000000001,0.2
144,Material_144,19.3,1.48,53,1643,63,0.8,0.30000000000000004
145,Material_145,19.4,1.49,54,1644,64,0.9,0.4
146,Material_146,19.5,1.5,55,1645,65,1.0,0.5
147,Material_147,19.6,1.51,56,1646,66,1.1,0.6000000000000001
148,Material_148,19.7,1.52,57,1647,67,1.2000000000000002,0.7000000000000001
149,Material_149,19.8,1.53,58,1648,68,1.3,0.8
150,Material_150,19.9,1.54,59,1649,69,1.4000000000000001,0.9
151,Material_151,20.0,1.55,60,1650,70,0.0,0.0
152,Material_152,20.1,1.56,61,1651,71,0.1,0.1
153,Material_153,20.2,1.57,62,1652,72,0.2,0.2
154,Material_154,20.3,1.58,63,1653,73,0.30000000000000004,0.30000000000000004
155,Material_155,20.4,1.59,64,1654,74,0.4,0.4
156,Material_156,20.5,1.6,65,1655,75,0.5,0.5
157,Material_157,20.6,1.61,66,1656,76,0.6000000000000001,0.6000000000000001
158,Material_158,20.7,1.62,67,1657,77,0.7000000000000001,0.7000000000000001
159,Material_159,20.8,1.63,68,1658,78,0.8,0.8
160,Material_160,20.9,1.64,69,1659,79,0.9,0.9
161,Material_161,21.0,1.65,70,1660,80,1.0,0.0
162,Material_162,21.1,1.66,71,1661,81,1.1,0.1
163,Material_163,21.2,1.67,72,1662,82,1.2000000000000002,0.2
164,Material_164,21.3,1.68,73,1663,83,1.3,0.30000000000000004
165,Material_165,21.4,1.69,74,1664,84,1.4000000000000001,0.4
166,Material_166,21.5,1.7,75,1665,85,0.0,0.5
167,Material_167,21.6,1.71,76,1666,86,0.1,0.6000000000000001
168,Material_168,21.7,1.72,77,1667,87,0.2,0.7000000000000001
169,Material_169,21.8,1.73,78,1668,88,0.30000000000000004,0.8
170,Material_170,21.9,1.74,79,1669,89,0.4,0.9
171,Material_171,22.0,1.75,80,1670,90,0.5,0.0
172,Material_172,22.1,1.76,81,1671,91,0.6000000000000001,0.1
173,Material_173,22.2,1.77,82,1672,92,0.7000000000000001,0.2
174,Material_174,22.3,1.78,83,1673,93,0.8,0.30000000000000004
175,Material_175,22.4,1.79,84,1674,94,0.9,0.4
176,Material_176,22.5,1.8,85,1675,95,1.0,0.5
177,Material_177,22.6,1.81,86,1676,96,1.1,0.6000000000000001
178,Material_178,22.7,1.82,87,1677,97,1.2000000000000002,0.7000000000000001
179,Material_179,22.8,1.83,88,1678,98,1.3,0.8
180,Material_180,22.9,1.84,89,1679,99,1.4000000000000001,0.9
181,Material_181,23.0,1.85,90,1680,10,0.0,0.0
182,Material_182,23.1,1.86,91,1681,11,0.1,0.1
183,Material_183,23.2,1.87,92,1682,12,0.2,0.2
184,Material_184,23.3,1.88,93,1683,13,0.30000000000000004,0.30000000000000004
185,Material_185,23.4,1.89,94,1684,14,0.4,0.4
186,Material_186,23.5,1.9,95,1685,15,0.5,0.5
187,Material_187,23.6,1.91,96,1686,16,0.6000000000000001,0.6000000000000001
188,Material_188,23.7,1.92,97,1687,17,0.7000000000000001,0.7000000000000001
189,Material_189,23.8,1.93,98,1688,18,0.8,0.8
190,Material_190,23.9,1.94,99,1689,19,0.9,0.9
191,Material_191,24.0,1.95,100,1690,20,1.0,0.0
192,Material_192,24.1,1.96,101,1691,21,1.1,0.1
193,Material_193,24.2,1.97,102,1692,22,1.2000000000000002,0.2
194,Material_194,24.3,1.98,103,1693,23,1.3,0.30000000000000004
195,Material_195,24.4,1.99,104,1694,24,1.4000000000000001,0.4
196,Material_196,24.5,2.0,105,1695,25,0.0,0.5
197,Material_197,24.6,2.01,106,1696,26,0.1,0.6000000000000001
198,Material_198,24.7,2.02,107,1697,27,0.2,0.7000000000000001
199,Material_199,24.8,2.03,108,1698,28,0.30000000000000004,0.8
200,Material_200,24.9,2.04,109,1699,29,0.4,0.9
