ID,Material,Resistencia (MPa),Costo (USD/kg),Durabilidad (años),Peso (kg/m³),Resistencia a la Corrosión (%),Absorción de Agua (%),Conductividad Térmica (W/m·K)
81,Óxido de Cadmio,60.0,0.2,100.0,8770,85.0,0.1,97.0
82,Óxido de Molibdeno,250.0,1.0,100.0,10120,85.0,0.1,140.0
83,Óxido de Antimonio,150.0,1.2,200.0,6880,85.0,0.1,18.5
84,Óxido de Zinc,80.0,0.3,120.0,5610,85.0,0.1,0.6
85,Óxido de Sodio,15.0,0.05,100.0,927,85.0,0.1,142.0
86,Óxido de Potasio,20.0,0.08,100.0,887,85.0,0.1,102.0
87,Óxido de Cobre(I),70.0,0.5,100.0,5940,85.0,0.1,60.0
88,Óxido de Cobre(II),90.0,0.6,100.0,6010,85.0,0.1,80.0
89,Óxido de Níquel(II),150.0,3.5,150.0,6730,85.0,0.1,35.0
90,Óxido de Plomo(II),40.0,0.15,100.0,9130,85.0,0.1,5.0
91,Óxido de Aluminio(III),70.0,0.25,100.0,3950,85.0,0.1,30.0
92,Óxido de Titanio(IV),80.0,0.55,100.0,4230,85.0,0.1,11.0
93,Óxido de Magnesio(III),30.0,0.1,100.0,3580,85.0,0.1,60.0
94,Óxido de Cromo(III),200.0,1.2,150.0,5320,85.0,0.1,13.0
95,Óxido de Uranio(VI),100.0,22.0,300.0,10970,85.0,0.1,27.0
96,Óxido de Manganeso(IV),120.0,0.6,100.0,5280,85.0,0.1,7.8
97,Óxido de Tungsteno(VI),500.0,6.0,150.0,11960,85.0,0.1,170.0
98,Óxido de Cadmio(II),60.0,0.25,100.0,8770,85.0,0.1,97.0
99,Óxido de Molibdeno(VI),250.0,1.2,100.0,10120,85.0,0.1,140.0
100,Óxido de Antimonio(III),150.0,1.3,200.0,6880,85.0,0.1,18.5
101,Granito,200.0,0.08,100.0,2650,95.0,0.2,3.0
102,Arcilla Expandida,15.0,0.05,50.0,350,60.0,10.0,0.1
103,Polvo de Madera,5.0,0.02,10.0,500,50.0,12.0,0.13
104,Poliestireno Expandido,1.0,0.03,20.0,30,50.0,0.5,0.03
105,Espuma de Poliuretano,1.0,0.04,25.0,35,45.0,0.4,0.02
106,Polvo de Concha de Mar,8.0,0.01,30.0,1800,60.0,0.3,0.5
107,Escoria de Cobre,25.0,0.05,80.0,3700,85.0,0.2,1.2
108,Polvo de Basalto,80.0,0.07,150.0,2900,90.0,0.1,1.8
109,Zeolita,10.0,0.02,100.0,2200,70.0,4.0,0.4
110,Polvo de Cristal,35.0,0.04,60.0,2500,80.0,0.1,1.5
111,Ceniza de Cáscara de Arroz,15.0,0.03,50.0,650,75.0,2.0,0.8
112,Polvo de Teja,20.0,0.02,70.0,1900,65.0,1.0,0.5
113,Polvo de Ladrillo,25.0,0.02,80.0,2100,70.0,1.0,0.6
114,Polvo de Caucho,5.0,0.04,40.0,1100,60.0,0.1,0.16
115,Polvo de PVC,20.0,0.05,30.0,1400,85.0,0.01,0.19
116,Polvo de PEAD,15.0,0.06,25.0,950,80.0,0.01,0.45
117,Polvo de PS,10.0,0.07,20.0,1050,70.0,0.01,0.17
118,Polvo de ABS,25.0,0.08,30.0,1020,75.0,0.01,0.3
119,Polvo de Policarbonato,50.0,0.09,40.0,1200,90.0,0.01,0.2
120,Polvo de Nylon,35.0,0.07,50.0,1140,85.0,0.01,0.24
121,Polvo de Polietileno,15.0,0.04,35.0,950,80.0,0.01,0.45
122,Polvo de Polipropileno,20.0,0.05,25.0,900,75.0,0.01,0.22
123,Polvo de Acero Inoxidable,400.0,2.5,100.0,8000,100.0,0.05,15.0
124,Polvo de Aleación de Aluminio,150.0,1.8,80.0,2700,90.0,0.03,235.0
125,Polvo de Titanio,1000.0,10.0,120.0,4500,95.0,0.02,22.0
126,Polvo de Magnesio,70.0,2.0,50.0,1740,80.0,0.02,156.0
127,Polvo de Latón,300.0,4.0,90.0,8500,85.0,0.02,120.0
128,Polvo de Bronce,250.0,3.0,70.0,8900,85.0,0.02,60.0
129,Polvo de Níquel,350.0,5.0,100.0,8900,90.0,0.01,90.0
130,Polvo de Cromo,400.0,6.0,150.0,7200,90.0,0.01,94.0
131,Polvo de Cobalto,450.0,7.0,120.0,8900,90.0,0.01,100.0
132,Polvo de Plata,500.0,50.0,150.0,10490,95.0,0.0,429.0
133,Polvo de Oro,800.0,55.0,200.0,19300,95.0,0.0,317.0
134,Polvo de Platino,900.0,60.0,300.0,21450,95.0,0.0,71.6
135,Polvo de Paladio,850.0,70.0,250.0,12160,95.0,0.0,72.0
136,Polvo de Rodio,1000.0,75.0,400.0,12450,95.0,0.0,150.0
137,Polvo de Iridio,1200.0,80.0,350.0,22500,95.0,0.0,150.0
138,Polvo de Osmio,1100.0,85.0,500.0,22590,95.0,0.0,87.6
139,Polvo de Rutenio,1000.0,90.0,450.0,12370,95.0,0.0,117.0
140,Polvo de Renio,950.0,95.0,350.0,21020,95.0,0.0,48.0
141,Polvo de Estaño,70.0,2.0,50.0,7300,85.0,0.1,66.0
142,Polvo de Zinc,150.0,2.5,60.0,7130,85.0,0.1,116.0
143,Polvo de Cadmio,100.0,3.0,70.0,8650,85.0,0.1,97.0
144,Polvo de Mercurio,0.0,1.0,,13534,95.0,0.0,8.3
145,Polvo de Talio,200.0,5.0,90.0,11850,85.0,0.1,46.0
146,Polvo de Plomo,50.0,2.0,80.0,11340,85.0,0.1,35.0
147,Polvo de Bismuto,120.0,10.0,100.0,9800,85.0,0.1,7.97
148,Polvo de Antimonio,150.0,12.0,110.0,6690,85.0,0.1,18.0
149,Polvo de Arsénico,300.0,15.0,120.0,5727,85.0,0.1,50.0
150,Polvo de Selenio,80.0,20.0,130.0,4800,85.0,0.1,2.0
151,Polvo de Telurio,100.0,25.0,140.0,6240,85.0,0.1,2.35
152,Polvo de Polvo de Germanio,200.0,30.0,150.0,5323,85.0,0.1,60.2
153,Polvo de Galio,100.0,35.0,160.0,5904,85.0,0.1,29.0
154,Polvo de Indio,120.0,40.0,170.0,7310,85.0,0.1,82.0
155,Polvo de Talco,2.0,0.01,200.0,2700,75.0,0.5,0.2
156,Polvo de Dolomita,15.0,0.04,100.0,2900,70.0,0.4,2.3
157,Polvo de Cal,20.0,0.02,80.0,1800,80.0,0.3,0.9
158,Polvo de Yeso,10.0,0.03,50.0,2300,65.0,1.0,0.5
159,Polvo de Carbonato de Calcio,30.0,0.01,100.0,2710,85.0,0.2,3.0
160,Polvo de Silicato de Sodio,40.0,0.02,120.0,2300,80.0,0.1,1.4
161,Polvo de Aluminato de Sodio,35.0,0.03,110.0,1450,75.0,0.3,0.8
162,Polvo de Trisulfato de Aluminio,20.0,0.01,90.0,1780,70.0,0.5,0.4
163,Polvo de Sulfato de Aluminio,25.0,0.02,80.0,2650,75.0,0.3,0.58
164,Polvo de Bicarbonato de Sodio,10.0,0.01,70.0,2500,65.0,0.6,0.2
165,Polvo de Peróxido de Sodio,50.0,0.04,60.0,2000,80.0,0.5,0.3
166,Polvo de Peróxido de Calcio,30.0,0.02,40.0,3100,85.0,0.3,0.7
167,Polvo de Peróxido de Magnesio,20.0,0.03,30.0,3400,75.0,0.4,0.6
168,Polvo de Dióxido de Titanio,100.0,0.05,20.0,4230,85.0,0.1,11.0
169,Polvo de Hidróxido de Calcio,25.0,0.02,100.0,2240,75.0,0.4,0.3
170,Polvo de Hidróxido de Sodio,35.0,0.03,90.0,2100,70.0,0.5,0.6
171,Polvo de Hidróxido de Potasio,40.0,0.05,80.0,2040,80.0,0.6,0.57
172,Polvo de Hidróxido de Magnesio,30.0,0.04,70.0,2330,85.0,0.2,0.58
173,Polvo de Hidróxido de Amonio,20.0,0.01,60.0,800,70.0,1.0,0.5
174,Polvo de Cloruro de Sodio,50.0,0.03,50.0,2170,65.0,0.5,0.6
175,Polvo de Cloruro de Calcio,60.0,0.02,40.0,2150,80.0,10.0,0.5
176,Polvo de Cloruro de Magnesio,20.0,0.01,30.0,2560,85.0,0.6,0.2
177,Polvo de Cloruro de Potasio,15.0,0.02,20.0,1980,70.0,0.5,0.3
178,Polvo de Cloruro de Aluminio,25.0,0.01,10.0,2430,85.0,0.6,0.4
179,Polvo de Cloruro de Zinc,40.0,0.05,5.0,2960,70.0,0.4,0.7
180,Polvo de Sulfato de Sodio,10.0,0.02,200.0,2660,80.0,1.0,0.48
181,Polvo de Sulfato de Calcio,20.0,0.03,100.0,2960,85.0,0.5,0.49
182,Polvo de Sulfato de Potasio,30.0,0.04,50.0,2660,75.0,0.6,0.5
183,Polvo de Sulfato de Magnesio,5.0,0.01,80.0,2570,85.0,0.4,0.1
184,Polvo de Nitrato de Sodio,40.0,0.05,40.0,2260,80.0,0.4,0.48
185,Polvo de Nitrato de Calcio,25.0,0.02,30.0,2500,75.0,0.5,0.49
186,Polvo de Nitrato de Magnesio,35.0,0.04,20.0,2550,70.0,0.6,0.5
187,Polvo de Nitrato de Potasio,15.0,0.03,10.0,2120,65.0,0.5,0.4
