ID,Material,Resistencia (MPa),Costo (USD/kg),Durabilidad (años),Peso (kg/m³),Resistencia a la Corrosión (%),Absorción de Agua (%),Conductividad Térmica (W/m·K)
21,Bentonita,0.006666666666666667,0.0002900029000290003,120.0,0.034131205673758866,85.0,5.0,0.5
22,Yeso,0.004666666666666667,0.00014000140001400014,30.0,0.040780141843971635,80.0,2.0,0.3
23,Vermiculita,0.0006666666666666666,0.0024900249002490025,80.0,0.04299645390070922,65.0,5.0,0.12
24,Celulosa,0.0003333333333333333,0.003990039900399004,25.0,0.05186170212765957,70.0,6.0,0.05
25,Fibra de Poliéster,0.03333333333333333,0.014990149901499017,15.0,0.06294326241134751,75.0,0.3,0.4
26,Mica,0.023333333333333334,0.0002900029000290003,150.0,0.11835106382978723,90.0,0.5,2.2
27,Escoria de Alto Horno,0.02,0.0003900039000390004,70.0,0.1449468085106383,85.0,0.4,0.9
28,Bentonita Sódica,0.008,0.00034000340003400035,110.0,0.040780141843971635,75.0,5.5,0.6
29,Cuarzo,0.05333333333333334,0.0006900069000690007,200.0,0.11613475177304965,95.0,0.1,6.0
30,Perlita,0.0013333333333333333,0.000990009900099001,50.0,0.047429078014184396,65.0,3.0,0.3
31,Arcilla,0.0033333333333333335,0.0001900019000190002,100.0,0.06959219858156028,70.0,4.0,0.15
32,Asfalto,0.013333333333333334,0.004990049900499005,50.0,0.10062056737588652,60.0,0.4,0.75
33,Azufre,0.006666666666666667,0.0002900029000290003,100.0,0.09042553191489362,55.0,0.2,0.22
34,Basalto,0.08,0.0007900079000790008,150.0,0.13164893617021275,80.0,0.15,1.8
35,Borato,0.002,0.0004900049000490005,90.0,0.06959219858156028,70.0,3.0,1.5
36,Carbón,0.016666666666666666,0.0005900059000590006,80.0,0.060726950354609927,50.0,2.0,0.1
37,Cobre,0.14666666666666667,0.05999059990599906,70.0,0.3958333333333333,85.0,0.1,400.0
38,Dolomita,0.01,0.0003900039000390004,100.0,0.12721631205673758,60.0,0.5,2.3
39,Feldespato,0.0033333333333333335,0.0002900029000290003,100.0,0.11391843971631206,50.0,0.6,1.8
40,Grafito,0.013333333333333334,0.001990019900199002,150.0,0.09618794326241134,90.0,0.1,100.0
41,Hierro,0.16666666666666666,0.004990049900499005,60.0,0.3466312056737589,70.0,0.2,80.0
42,Lignito,0.0033333333333333335,9.00009000090001e-05,100.0,0.047429078014184396,40.0,1.0,0.12
43,Manganeso,0.08,0.01999019990199902,70.0,0.3178191489361702,60.0,0.3,7.8
44,Mercurio,0.0,0.00999009990099901,5.0,0.5985815602836879,95.0,0.0,8.3
45,Níquel,0.13333333333333333,0.039990399903999045,90.0,0.39317375886524825,90.0,0.1,90.0
46,Plata,0.16666666666666666,0.4999949999499996,100.0,0.46365248226950356,90.0,0.0,429.0
47,Plomo,0.01,0.01999019990199902,100.0,0.5013297872340425,95.0,0.0,35.0
48,Silicio,0.1,0.04999049990499905,200.0,0.10195035460992907,85.0,0.2,150.0
49,Talco,0.0013333333333333333,9.00009000090001e-05,100.0,0.11835106382978723,75.0,0.5,0.2
50,Titanio,0.6,0.14999149991499916,120.0,0.1981382978723404,95.0,0.0,22.0
51,Tungsteno,1.0,0.39999399993999946,150.0,0.8541666666666666,85.0,0.0,173.0
52,Uranio,0.06666666666666667,0.5999959999599996,300.0,0.8430851063829787,75.0,0.0,27.0
53,Zinc,0.16666666666666666,0.01999019990199902,100.0,0.3147163120567376,85.0,0.1,116.0
54,Caolín,0.006666666666666667,0.0001900019000190002,200.0,0.11391843971631206,70.0,1.5,0.3
55,Barita,0.01,0.0004900049000490005,100.0,0.1981382978723404,80.0,0.2,0.1
56,Molibdeno,0.2,0.1999919999199992,100.0,0.45434397163120566,90.0,0.0,138.0
57,Bismuto,0.06666666666666667,0.09999099990999911,50.0,0.43306737588652483,85.0,0.0,7.97
58,Magnesio,0.04666666666666667,0.01999019990199902,150.0,0.07579787234042554,85.0,0.1,156.0
59,Aluminio,0.06666666666666667,0.014990149901499017,50.0,0.11835106382978723,90.0,0.0,235.0
60,Cadmio,0.03333333333333333,0.039990399903999045,100.0,0.3820921985815603,80.0,0.0,97.0
61,Antimonio,0.1,0.11999119991199914,200.0,0.29521276595744683,85.0,0.1,18.0
62,Plutonio,0.05333333333333334,1.0,300.0,0.8781028368794326,85.0,0.0,6.74
63,Sodio,0.006666666666666667,0.004990049900499005,100.0,0.04157801418439716,60.0,0.0,142.0
64,Potasio,0.01,0.002990029900299003,100.0,0.03679078014184397,55.0,0.0,102.0
65,Cloruro de Calcio,0.013333333333333334,0.000990009900099001,70.0,0.09397163120567376,80.0,10.0,0.5
66,Fosfato,0.016666666666666666,0.0004900049000490005,100.0,0.13164893617021275,75.0,0.5,0.1
67,Sulfato de Magnesio,0.0033333333333333335,0.0001900019000190002,80.0,0.1125886524822695,70.0,0.4,0.1
68,Óxido de Hierro,0.03333333333333333,0.000990009900099001,100.0,0.22916666666666666,85.0,0.3,6.3
69,Óxido de Cinc,0.02666666666666667,0.002990029900299003,120.0,0.24689716312056736,85.0,0.1,0.6
70,Óxido de Aluminio,0.04666666666666667,0.001990019900199002,100.0,0.17375886524822695,85.0,0.2,30.0
71,Óxido de Titanio,0.05333333333333334,0.004990049900499005,100.0,0.18617021276595744,85.0,0.1,11.0
72,Óxido de Cobre,0.04,0.001990019900199002,100.0,0.28058510638297873,85.0,0.1,80.0
73,Óxido de Níquel,0.1,0.02999029990299903,150.0,0.2978723404255319,85.0,0.1,35.0
74,Óxido de Plomo,0.016666666666666666,0.000990009900099001,100.0,0.40647163120567376,85.0,0.0,5.0
75,Óxido de Magnesio,0.013333333333333334,0.0004900049000490005,100.0,0.1573581560283688,85.0,0.1,60.0
76,Óxido de Cromo,0.13333333333333333,0.00999009990099901,150.0,0.23448581560283688,85.0,0.1,13.0
77,Óxido de Bismuto,0.05333333333333334,0.002990029900299003,50.0,0.39184397163120566,85.0,0.1,6.8
78,Óxido de Uranio,0.06666666666666667,0.1999919999199992,300.0,0.4849290780141844,85.0,0.0,27.0
79,Óxido de Manganeso,0.08,0.004990049900499005,100.0,0.2327127659574468,85.0,0.1,7.8
80,Óxido de Tungsteno,0.3333333333333333,0.04999049990499905,150.0,0.5288120567375887,85.0,0.1,170.0
81,Óxido de Cadmio,0.04,0.001990019900199002,100.0,0.3874113475177305,85.0,0.1,97.0
82,Óxido de Molibdeno,0.16666666666666666,0.00999009990099901,100.0,0.44725177304964536,85.0,0.1,140.0
83,Óxido de Antimonio,0.1,0.011990119901199013,200.0,0.30363475177304966,85.0,0.1,18.5
84,Óxido de Zinc,0.05333333333333334,0.002990029900299003,120.0,0.2473404255319149,85.0,0.1,0.6
85,Óxido de Sodio,0.01,0.0004900049000490005,100.0,0.03976063829787234,85.0,0.1,142.0
86,Óxido de Potasio,0.013333333333333334,0.0007900079000790008,100.0,0.03798758865248227,85.0,0.1,102.0
87,Óxido de Cobre(I),0.04666666666666667,0.004990049900499005,100.0,0.261968085106383,85.0,0.1,60.0
88,Óxido de Cobre(II),0.06,0.005990059900599006,100.0,0.2650709219858156,85.0,0.1,80.0
89,Óxido de Níquel(II),0.1,0.034990349903499036,150.0,0.2969858156028369,85.0,0.1,35.0
90,Óxido de Plomo(II),0.02666666666666667,0.0014900149001490016,100.0,0.4033687943262411,85.0,0.1,5.0
91,Óxido de Aluminio(III),0.04666666666666667,0.0024900249002490025,100.0,0.17375886524822695,85.0,0.1,30.0
92,Óxido de Titanio(IV),0.05333333333333334,0.005490054900549006,100.0,0.18617021276595744,85.0,0.1,11.0
93,Óxido de Magnesio(III),0.02,0.000990009900099001,100.0,0.1573581560283688,85.0,0.1,60.0
94,Óxido de Cromo(III),0.13333333333333333,0.011990119901199013,150.0,0.23448581560283688,85.0,0.1,13.0
95,Óxido de Uranio(VI),0.06666666666666667,0.21999219992199923,300.0,0.4849290780141844,85.0,0.1,27.0
96,Óxido de Manganeso(IV),0.08,0.005990059900599006,100.0,0.2327127659574468,85.0,0.1,7.8
97,Óxido de Tungsteno(VI),0.3333333333333333,0.05999059990599906,150.0,0.5288120567375887,85.0,0.1,170.0
98,Óxido de Cadmio(II),0.04,0.0024900249002490025,100.0,0.3874113475177305,85.0,0.1,97.0
99,Óxido de Molibdeno(VI),0.16666666666666666,0.011990119901199013,100.0,0.44725177304964536,85.0,0.1,140.0
100,Óxido de Antimonio(III),0.1,0.012990129901299016,200.0,0.30363475177304966,85.0,0.1,18.5
101,Granito,0.13333333333333333,0.0007900079000790008,100.0,0.11613475177304965,95.0,0.2,3.0
102,Arcilla Expandida,0.01,0.0004900049000490005,50.0,0.014184397163120567,60.0,10.0,0.1
103,Polvo de Madera,0.0033333333333333335,0.0001900019000190002,10.0,0.020833333333333332,50.0,12.0,0.13
104,Poliestireno Expandido,0.0006666666666666666,0.0002900029000290003,20.0,0.0,50.0,0.5,0.03
105,Espuma de Poliuretano,0.0006666666666666666,0.0003900039000390004,25.0,0.00022163120567375886,45.0,0.4,0.02
106,Polvo de Concha de Mar,0.005333333333333333,9.00009000090001e-05,30.0,0.07845744680851063,60.0,0.3,0.5
107,Escoria de Cobre,0.016666666666666666,0.0004900049000490005,80.0,0.162677304964539,85.0,0.2,1.2
108,Polvo de Basalto,0.05333333333333334,0.0006900069000690007,150.0,0.12721631205673758,90.0,0.1,1.8
109,Zeolita,0.006666666666666667,0.0001900019000190002,100.0,0.09618794326241134,70.0,4.0,0.4
110,Polvo de Cristal,0.023333333333333334,0.0003900039000390004,60.0,0.10948581560283688,80.0,0.1,1.5
111,Ceniza de Cáscara de Arroz,0.01,0.0002900029000290003,50.0,0.0274822695035461,75.0,2.0,0.8
112,Polvo de Teja,0.013333333333333334,0.0001900019000190002,70.0,0.08289007092198582,65.0,1.0,0.5
113,Polvo de Ladrillo,0.016666666666666666,0.0001900019000190002,80.0,0.09175531914893617,70.0,1.0,0.6
114,Polvo de Caucho,0.0033333333333333335,0.0003900039000390004,40.0,0.047429078014184396,60.0,0.1,0.16
115,Polvo de PVC,0.013333333333333334,0.0004900049000490005,30.0,0.060726950354609927,85.0,0.01,0.19
116,Polvo de PEAD,0.01,0.0005900059000590006,25.0,0.040780141843971635,80.0,0.01,0.45
117,Polvo de PS,0.006666666666666667,0.0006900069000690007,20.0,0.04521276595744681,70.0,0.01,0.17
118,Polvo de ABS,0.016666666666666666,0.0007900079000790008,30.0,0.043882978723404256,75.0,0.01,0.3
119,Polvo de Policarbonato,0.03333333333333333,0.0008900089000890009,40.0,0.05186170212765957,90.0,0.01,0.2
120,Polvo de Nylon,0.023333333333333334,0.0006900069000690007,50.0,0.04920212765957447,85.0,0.01,0.24
121,Polvo de Polietileno,0.01,0.0003900039000390004,35.0,0.040780141843971635,80.0,0.01,0.45
122,Polvo de Polipropileno,0.013333333333333334,0.0004900049000490005,25.0,0.03856382978723404,75.0,0.01,0.22
123,Polvo de Acero Inoxidable,0.26666666666666666,0.024990249902499026,100.0,0.3532801418439716,100.0,0.05,15.0
124,Polvo de Aleación de Aluminio,0.1,0.01799017990179902,80.0,0.11835106382978723,90.0,0.03,235.0
125,Polvo de Titanio,0.6666666666666666,0.09999099990999911,120.0,0.1981382978723404,95.0,0.02,22.0
126,Polvo de Magnesio,0.04666666666666667,0.01999019990199902,50.0,0.07579787234042554,80.0,0.02,156.0
127,Polvo de Latón,0.2,0.039990399903999045,90.0,0.3754432624113475,85.0,0.02,120.0
128,Polvo de Bronce,0.16666666666666666,0.02999029990299903,70.0,0.39317375886524825,85.0,0.02,60.0
129,Polvo de Níquel,0.23333333333333334,0.04999049990499905,100.0,0.39317375886524825,90.0,0.01,90.0
130,Polvo de Cromo,0.26666666666666666,0.05999059990599906,150.0,0.3178191489361702,90.0,0.01,94.0
131,Polvo de Cobalto,0.3,0.06999069990699908,120.0,0.39317375886524825,90.0,0.01,100.0
132,Polvo de Plata,0.3333333333333333,0.4999949999499996,150.0,0.46365248226950356,95.0,0.0,429.0
133,Polvo de Oro,0.5333333333333333,0.5499954999549996,200.0,0.8541666666666666,95.0,0.0,317.0
134,Polvo de Platino,0.6,0.5999959999599996,300.0,0.949468085106383,95.0,0.0,71.6
135,Polvo de Paladio,0.5666666666666667,0.6999969999699996,250.0,0.537677304964539,95.0,0.0,72.0
136,Polvo de Rodio,0.6666666666666666,0.7499974999749998,400.0,0.550531914893617,95.0,0.0,150.0
137,Polvo de Iridio,0.8,0.7999979999799998,350.0,0.9960106382978723,95.0,0.0,150.0
138,Polvo de Osmio,0.7333333333333333,0.8499984999849999,500.0,1.0,95.0,0.0,87.6
139,Polvo de Rutenio,0.6666666666666666,0.8999989999899999,450.0,0.5469858156028369,95.0,0.0,117.0
140,Polvo de Renio,0.6333333333333333,0.949999499995,350.0,0.9304078014184397,95.0,0.0,48.0
141,Polvo de Estaño,0.04666666666666667,0.01999019990199902,50.0,0.32225177304964536,85.0,0.1,66.0
142,Polvo de Zinc,0.1,0.024990249902499026,60.0,0.3147163120567376,85.0,0.1,116.0
143,Polvo de Cadmio,0.06666666666666667,0.02999029990299903,70.0,0.3820921985815603,85.0,0.1,97.0
144,Polvo de Mercurio,0.0,0.00999009990099901,5.0,0.5985815602836879,95.0,0.0,8.3
145,Polvo de Talio,0.13333333333333333,0.04999049990499905,90.0,0.523936170212766,85.0,0.1,46.0
146,Polvo de Plomo,0.03333333333333333,0.01999019990199902,80.0,0.5013297872340425,85.0,0.1,35.0
147,Polvo de Bismuto,0.08,0.09999099990999911,100.0,0.43306737588652483,85.0,0.1,7.97
148,Polvo de Antimonio,0.1,0.11999119991199914,110.0,0.29521276595744683,85.0,0.1,18.0
149,Polvo de Arsénico,0.2,0.14999149991499916,120.0,0.25252659574468084,85.0,0.1,50.0
150,Polvo de Selenio,0.05333333333333334,0.1999919999199992,130.0,0.21143617021276595,85.0,0.1,2.0
151,Polvo de Telurio,0.06666666666666667,0.24999249992499925,140.0,0.2752659574468085,85.0,0.1,2.35
152,Polvo de Polvo de Germanio,0.13333333333333333,0.2999929999299993,150.0,0.23461879432624114,85.0,0.1,60.2
153,Polvo de Galio,0.06666666666666667,0.3499934999349994,160.0,0.2603723404255319,85.0,0.1,29.0
154,Polvo de Indio,0.08,0.39999399993999946,170.0,0.32269503546099293,85.0,0.1,82.0
155,Polvo de Talco,0.0013333333333333333,9.00009000090001e-05,200.0,0.11835106382978723,75.0,0.5,0.2
156,Polvo de Dolomita,0.01,0.0003900039000390004,100.0,0.12721631205673758,70.0,0.4,2.3
157,Polvo de Cal,0.013333333333333334,0.0001900019000190002,80.0,0.07845744680851063,80.0,0.3,0.9
158,Polvo de Yeso,0.006666666666666667,0.0002900029000290003,50.0,0.10062056737588652,65.0,1.0,0.5
159,Polvo de Carbonato de Calcio,0.02,9.00009000090001e-05,100.0,0.11879432624113476,85.0,0.2,3.0
160,Polvo de Silicato de Sodio,0.02666666666666667,0.0001900019000190002,120.0,0.10062056737588652,80.0,0.1,1.4
161,Polvo de Aluminato de Sodio,0.023333333333333334,0.0002900029000290003,110.0,0.06294326241134751,75.0,0.3,0.8
162,Polvo de Trisulfato de Aluminio,0.013333333333333334,9.00009000090001e-05,90.0,0.0775709219858156,70.0,0.5,0.4
163,Polvo de Sulfato de Aluminio,0.016666666666666666,0.0001900019000190002,80.0,0.11613475177304965,75.0,0.3,0.58
164,Polvo de Bicarbonato de Sodio,0.006666666666666667,9.00009000090001e-05,70.0,0.10948581560283688,65.0,0.6,0.2
165,Polvo de Peróxido de Sodio,0.03333333333333333,0.0003900039000390004,60.0,0.08732269503546099,80.0,0.5,0.3
166,Polvo de Peróxido de Calcio,0.02,0.0001900019000190002,40.0,0.13608156028368795,85.0,0.3,0.7
167,Polvo de Peróxido de Magnesio,0.013333333333333334,0.0002900029000290003,30.0,0.14937943262411346,75.0,0.4,0.6
168,Polvo de Dióxido de Titanio,0.06666666666666667,0.0004900049000490005,20.0,0.18617021276595744,85.0,0.1,11.0
169,Polvo de Hidróxido de Calcio,0.016666666666666666,0.0001900019000190002,100.0,0.09796099290780141,75.0,0.4,0.3
170,Polvo de Hidróxido de Sodio,0.023333333333333334,0.0002900029000290003,90.0,0.09175531914893617,70.0,0.5,0.6
171,Polvo de Hidróxido de Potasio,0.02666666666666667,0.0004900049000490005,80.0,0.08909574468085106,80.0,0.6,0.57
172,Polvo de Hidróxido de Magnesio,0.02,0.0003900039000390004,70.0,0.10195035460992907,85.0,0.2,0.58
173,Polvo de Hidróxido de Amonio,0.013333333333333334,9.00009000090001e-05,60.0,0.034131205673758866,70.0,1.0,0.5
174,Polvo de Cloruro de Sodio,0.03333333333333333,0.0002900029000290003,50.0,0.09485815602836879,65.0,0.5,0.6
175,Polvo de Cloruro de Calcio,0.04,0.0001900019000190002,40.0,0.09397163120567376,80.0,10.0,0.5
176,Polvo de Cloruro de Magnesio,0.013333333333333334,9.00009000090001e-05,30.0,0.11214539007092199,85.0,0.6,0.2
177,Polvo de Cloruro de Potasio,0.01,0.0001900019000190002,20.0,0.08643617021276596,70.0,0.5,0.3
178,Polvo de Cloruro de Aluminio,0.016666666666666666,9.00009000090001e-05,10.0,0.10638297872340426,85.0,0.6,0.4
179,Polvo de Cloruro de Zinc,0.02666666666666667,0.0004900049000490005,5.0,0.12987588652482268,70.0,0.4,0.7
180,Polvo de Sulfato de Sodio,0.006666666666666667,0.0001900019000190002,200.0,0.11657801418439716,80.0,1.0,0.48
181,Polvo de Sulfato de Calcio,0.013333333333333334,0.0002900029000290003,100.0,0.12987588652482268,85.0,0.5,0.49
182,Polvo de Sulfato de Potasio,0.02,0.0003900039000390004,50.0,0.11657801418439716,75.0,0.6,0.5
183,Polvo de Sulfato de Magnesio,0.0033333333333333335,9.00009000090001e-05,80.0,0.1125886524822695,85.0,0.4,0.1
184,Polvo de Nitrato de Sodio,0.02666666666666667,0.0004900049000490005,40.0,0.09884751773049645,80.0,0.4,0.48
185,Polvo de Nitrato de Calcio,0.016666666666666666,0.0001900019000190002,30.0,0.10948581560283688,75.0,0.5,0.49
186,Polvo de Nitrato de Magnesio,0.023333333333333334,0.0003900039000390004,20.0,0.11170212765957446,70.0,0.6,0.5
187,Polvo de Nitrato de Potasio,0.01,0.0002900029000290003,10.0,0.09264184397163121,65.0,0.5,0.4
